,Unnamed: 0,Year,Month,unemployment_level,civilian_labor_force,inflation_level,unemployment,inflation,decade,        Gross domestic product,Personal consumption expenditures,    Goods,    Services,Gross private domestic investment,    Fixed investment,    Exports,    Federal,        National defense,        Nondefense,    State and local,Year_Month,    Personal consumption expenditures (PCE),  PCE excluding food and energy,inflation_PCE
0,0,1948,1,2034,60230,23.68,3.377054624,1.153353268,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,0.001
1,1,1948,2,2328,60230,23.67,3.865183463,-0.04222973,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
2,2,1948,3,2399,60230,23.5,3.983064918,-0.718208703,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
3,3,1948,4,2386,60535,23.82,3.941521434,1.361702128,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
4,4,1948,5,2118,60535,24.01,3.498802346,0.797649034,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
5,5,1948,6,2214,60535,24.15,3.657388288,0.583090379,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
6,6,1948,7,2213,60934,24.4,3.631798339,1.035196687,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
7,7,1948,8,2350,60934,24.43,3.856631766,0.12295082,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
8,8,1948,9,2302,60934,24.36,3.77785801,-0.286532951,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
9,9,1948,10,2259,60839,24.31,3.713078782,-0.205254516,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
10,10,1948,11,2285,60839,24.16,3.755814527,-0.617030029,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
11,11,1948,12,2429,60839,24.05,3.992504808,-0.455298013,1940,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894,,,,
12,12,1949,1,2596,60967,24.01,4.258041235,-0.166320166,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
13,13,1949,2,2849,60967,23.91,4.67301983,-0.416493128,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
14,14,1949,3,3030,60967,23.91,4.96990175,0,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
15,15,1949,4,3260,61071,23.92,5.338049156,0.041823505,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
16,16,1949,5,3707,61071,23.91,6.069984117,-0.04180602,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
17,17,1949,6,3776,61071,23.92,6.182967366,0.041823505,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
18,18,1949,7,4111,61508,23.7,6.683683423,-0.919732441,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
19,19,1949,8,4193,61508,23.7,6.816999415,0,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
20,20,1949,9,4049,61508,23.75,6.582883527,0.210970464,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
21,21,1949,10,4916,62033,23.67,7.924814212,-0.336842105,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
22,22,1949,11,3996,62033,23.7,6.441732626,0.126742712,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
23,23,1949,12,4063,62033,23.61,6.549739655,-0.379746835,1940,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811,,,,
24,24,1950,1,4026,61651,23.51,6.5303077,-0.423549343,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
25,25,1950,2,3936,61651,23.61,6.384324666,0.425350915,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
26,26,1950,3,3876,61651,23.64,6.287002644,0.127064803,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
27,27,1950,4,3575,62220,23.65,5.745740919,0.042301184,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
28,28,1950,5,3434,62220,23.77,5.519125683,0.507399577,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
29,29,1950,6,3367,62220,23.88,5.411443266,0.462768195,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
30,30,1950,7,3120,62355,24.07,5.003608371,0.795644891,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
31,31,1950,8,2799,62355,24.2,4.488814049,0.5400914,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
32,32,1950,9,2774,62355,24.34,4.448721033,0.578512397,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
33,33,1950,10,2625,62261,24.5,4.216122452,0.65735415,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
34,34,1950,11,2589,62261,24.6,4.158301344,0.408163265,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
35,35,1950,12,2639,62261,24.98,4.238608439,1.544715447,1940,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005,,,,
36,36,1951,1,2305,62082,25.38,3.712831417,1.601281025,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
37,37,1951,2,2117,62082,25.83,3.410006121,1.773049645,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
38,38,1951,3,2125,62082,25.88,3.422892304,0.193573364,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
39,39,1951,4,1919,61822,25.92,3.104072984,0.154559505,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
40,40,1951,5,1856,61822,25.99,3.002167513,0.270061728,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
41,41,1951,6,1995,61822,25.93,3.227006567,-0.230858022,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
42,42,1951,7,1950,61938,25.91,3.1483096,-0.077130737,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
43,43,1951,8,1933,61938,25.86,3.120862798,-0.192975685,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
44,44,1951,9,2067,61938,26.03,3.337208176,0.657385924,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
45,45,1951,10,2194,62225,26.16,3.525914022,0.499423742,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
46,46,1951,11,2178,62225,26.32,3.500200884,0.611620795,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
47,47,1951,12,1960,62225,26.47,3.149859381,0.569908815,1950,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133,,,,
48,48,1952,1,1972,62191,26.45,3.170876815,-0.075557235,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
49,49,1952,2,1957,62191,26.41,3.146757569,-0.151228733,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
50,50,1952,3,1813,62191,26.39,2.915212812,-0.075728891,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
51,51,1952,4,1811,61960,26.46,2.922853454,0.265251989,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
52,52,1952,5,1863,61960,26.47,3.006778567,0.037792895,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
53,53,1952,6,1884,61960,26.53,3.040671401,0.226671704,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
54,54,1952,7,1991,62099,26.68,3.206170792,0.565397663,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
55,55,1952,8,2087,62099,26.69,3.360762653,0.037481259,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
56,56,1952,9,1936,62099,26.63,3.117602538,-0.224803297,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
57,57,1952,10,1839,62361,26.69,2.948958484,0.225309801,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
58,58,1952,11,1743,62361,26.69,2.795016116,0,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
59,59,1952,12,1667,62361,26.71,2.673145075,0.074934432,1950,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398,,,,
60,60,1953,1,1839,63539,26.64,2.8942854,-0.26207413,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
61,61,1953,2,1636,63539,26.59,2.574796582,-0.187687688,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
62,62,1953,3,1647,63539,26.63,2.592108784,0.150432493,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
63,63,1953,4,1723,62948,26.69,2.737179895,0.225309801,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
64,64,1953,5,1596,62948,26.7,2.535426066,0.037467216,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
65,65,1953,6,1607,62948,26.77,2.552900807,0.262172285,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
66,66,1953,7,1660,62867,26.79,2.640495013,0.074710497,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
67,67,1953,8,1665,62867,26.85,2.648448312,0.223964166,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
68,68,1953,9,1821,62867,26.89,2.896591216,0.148975791,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
69,69,1953,10,1974,62870,26.95,3.139812311,0.223131276,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
70,70,1953,11,2211,62870,26.85,3.516780659,-0.371057514,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
71,71,1953,12,2818,62870,26.87,4.482264991,0.074487896,1950,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2,,,,
72,72,1954,1,3077,63629,26.94,4.835845291,0.260513584,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
73,73,1954,2,3331,63629,26.99,5.23503434,0.185597624,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
74,74,1954,3,3607,63629,26.93,5.668798818,-0.222304557,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
75,75,1954,4,3749,63651,26.86,5.88993103,-0.25993316,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
76,76,1954,5,3767,63651,26.93,5.91821024,0.260610573,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
77,77,1954,6,3551,63651,26.94,5.578859719,0.037133309,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
78,78,1954,7,3659,63739,26.86,5.740598378,-0.296956199,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
79,79,1954,8,3854,63739,26.85,6.04653352,-0.037230082,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
80,80,1954,9,3927,63739,26.81,6.161063085,-0.148975791,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
81,81,1954,10,3666,63669,26.72,5.757904161,-0.335695636,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
82,82,1954,11,3402,63669,26.78,5.343259671,0.224550898,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
83,83,1954,12,3196,63669,26.77,5.019711319,-0.037341299,1950,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686,,,,
84,84,1955,1,3157,63829,26.77,4.946027668,0,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
85,85,1955,2,2969,63829,26.82,4.651490702,0.186776242,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
86,86,1955,3,2918,63829,26.79,4.571589716,-0.111856823,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
87,87,1955,4,3049,64476,26.79,4.72889137,0,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
88,88,1955,5,2747,64476,26.77,4.260500031,-0.074654722,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
89,89,1955,6,2701,64476,26.71,4.189155655,-0.22413149,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
90,90,1955,7,2632,65451,26.76,4.021328933,0.187195807,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
91,91,1955,8,2784,65451,26.72,4.253563735,-0.149476831,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
92,92,1955,9,2678,65451,26.85,4.091610518,0.486526946,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
93,93,1955,10,2830,66101,26.82,4.28132706,-0.111731844,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
94,94,1955,11,2780,66101,26.88,4.205685239,0.223713647,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
95,95,1955,12,2761,66101,26.87,4.176941347,-0.037202381,1950,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018,,,,
96,96,1956,1,2666,66239,26.83,4.024819215,-0.148864905,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
97,97,1956,2,2606,66239,26.86,3.934238138,0.111815132,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
98,98,1956,3,2764,66239,26.89,4.172768309,0.111690246,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
99,99,1956,4,2650,66563,26.93,3.981190752,0.148754184,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
100,100,1956,5,2861,66563,27.03,4.298183676,0.371333086,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
101,101,1956,6,2882,66563,27.15,4.329732734,0.443951165,1950,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671,,,,
