Year,        Gross domestic product,Personal consumption expenditures,    Goods,    Services,Gross private domestic investment,    Fixed investment,    Exports,    Federal,        National defense,        Nondefense,    State and local
1947,13.451,12.353,13.314,10.981,11.528,11.644,5.381,19.546,25.2,10.168,12.163
1948,14.009,12.632,13.582,11.271,14.53,12.743,4.238,20.667,25.036,13.746,12.894
1949,13.933,12.983,13.993,11.542,11.228,11.685,4.199,22.407,26.021,16.981,14.811
1950,15.147,13.816,15.078,12.047,15.64,13.884,3.677,21.474,25.916,14.482,16.005
1951,16.368,14.032,14.898,12.758,15.678,13.321,4.506,35.102,48.533,12.37,16.133
1952,17.034,14.475,15.233,13.33,14.397,13.235,4.311,45.011,63.367,13.882,16.398
1953,17.834,15.165,16.022,13.891,15.207,14.269,4.022,48.384,67.169,16.506,17.2
1954,17.733,15.484,16.194,14.376,14.609,14.537,4.217,42.53,58.305,15.74,18.686
1955,18.996,16.627,17.686,15.098,17.981,16.375,4.667,39.131,53.363,14.961,20.018
1956,19.401,17.113,17.951,15.822,17.931,16.607,5.437,38.6,53.096,13.961,20.671
1957,19.809,17.536,18.259,16.366,17.26,16.491,5.911,40.101,55.467,13.958,21.886
1958,19.664,17.688,18.072,16.896,16.008,15.465,5.112,40.307,55.471,14.527,23.735
1959,21.021,18.691,19.209,17.729,19.083,17.551,5.639,41.095,53.936,19.317,24.528
1960,21.56,19.203,19.547,18.422,19.153,17.761,6.617,40.393,53.498,18.149,25.593
1961,22.111,19.599,19.67,19.101,19.214,17.879,6.652,42.342,56.159,18.887,27.149
1962,23.463,20.569,20.682,20.005,21.498,19.41,6.988,46.121,59.877,22.755,27.946
1963,24.485,21.416,21.508,20.856,22.958,20.911,7.488,46.225,58.56,25.255,29.583
1964,25.897,22.691,22.79,22.097,24.768,22.822,8.37,46.059,56.742,27.869,31.561
1965,27.58,24.13,24.405,23.322,28.196,25.189,8.604,46.41,55.98,30.082,33.652
1966,29.399,25.496,25.952,24.473,30.728,26.752,9.198,51.354,63.203,31.163,35.75
1967,30.205,26.257,26.46,25.474,29.653,26.505,9.409,56.562,71.129,31.748,37.539
1968,31.688,27.765,28.098,26.818,31.426,28.367,10.151,57.436,72.266,32.175,39.788
1969,32.683,28.803,28.957,28.011,33.176,30.042,10.646,56.034,69.292,33.441,41.177
1970,32.749,29.481,29.185,29.113,31.159,29.426,11.781,52.6,63.637,33.759,42.358
1971,33.833,30.607,30.407,30.121,34.37,31.446,11.986,49.245,57.169,35.636,43.688
1972,35.609,32.484,32.395,31.853,38.242,35.032,12.919,47.695,53.224,38.197,44.656
1973,37.618,34.094,34.073,33.364,42.426,38.035,15.354,45.987,50.505,38.272,45.916
1974,37.424,33.813,32.83,34.009,39.616,35.92,16.567,46.309,50.025,40.026,47.605
1975,37.35,34.58,33.053,35.289,33.199,32.397,16.462,46.554,49.537,41.57,49.331
1976,39.361,36.509,35.367,36.807,39.534,35.582,17.181,46.644,49.304,42.234,49.724
1977,41.175,38.047,36.885,38.332,45.175,40.407,17.595,47.658,49.781,44.209,49.905
1978,43.466,39.72,38.41,40.107,50.401,45.088,19.45,48.859,50.184,46.855,51.557
1979,44.846,40.664,39.024,41.331,52.167,47.685,21.377,50.003,51.536,47.632,52.31
1980,44.736,40.535,38.036,41.998,46.918,44.85,23.68,52.185,53.528,50.183,52.23
1981,45.897,41.137,38.486,42.727,51.048,46.055,23.972,54.528,56.867,50.692,51.163
1982,45.02,41.722,38.754,43.58,44.39,42.976,22.14,56.558,60.967,48.847,51.228
1983,47.105,44.101,41.219,45.849,48.532,46.212,21.569,60.242,65.392,51.165,51.896
1984,50.525,46.426,44.19,47.621,61.778,53.693,23.329,62.246,68.822,50.47,53.885
1985,52.666,48.867,46.514,50.123,61.738,56.649,24.109,67.181,74.873,53.344,56.93
1986,54.516,50.919,49.116,51.737,61.836,57.674,25.963,71.136,80.065,55.011,59.784
1987,56.403,52.642,50,54.063,63.593,58.03,28.79,73.814,84.125,55.135,61.087
1988,58.774,54.844,51.858,56.496,65.163,59.945,33.457,72.848,83.915,52.761,63.439
1989,60.937,56.444,53.166,58.293,67.802,61.846,37.329,74.053,83.71,56.576,65.951
1990,62.107,57.608,53.496,60.045,66.055,60.955,40.622,75.634,83.925,60.687,68.672
1991,62.061,57.74,52.434,61.026,61.699,57.819,43.309,75.621,83.1,62.167,70.183
1992,64.267,59.882,54.086,63.495,66.218,60.986,46.31,74.524,79.402,65.841,71.633
1993,66.032,61.962,56.333,65.449,71.513,65.663,47.827,71.925,75.391,65.81,72.508
1994,68.698,64.365,59.304,67.461,79.988,71.036,52.056,69.378,71.73,65.269,74.518
1995,70.566,66.29,61.076,69.48,82.573,75.378,57.406,67.554,68.873,65.295,76.542
1996,73.245,68.606,63.811,71.518,89.807,82.06,62.103,66.758,67.804,64.986,78.347
1997,76.531,71.188,66.853,73.804,100.046,89.128,69.501,66.222,65.962,66.783,81.14
1998,79.937,74.995,71.321,77.203,109.596,98.245,71.125,65.656,64.581,67.668,84.258
1999,83.682,78.968,76.94,80.192,118.809,106.922,73.006,66.959,65.579,69.514,87.829
