Year_Month,    Personal consumption expenditures (PCE),  PCE excluding food and energy
1959M01,17.124,17.597
1959M02,17.138,17.609
1959M03,17.149,17.627
1959M04,17.183,17.670
1959M05,17.191,17.690
1959M06,17.240,17.741
1959M07,17.275,17.782
1959M08,17.300,17.810
1959M09,17.345,17.856
1959M10,17.387,17.887
1959M11,17.398,17.920
1959M12,17.418,17.948
1960M01,17.410,17.954
1960M02,17.427,17.986
1960M03,17.437,17.988
1960M04,17.501,18.021
1960M05,17.519,18.051
1960M06,17.527,18.063
1960M07,17.559,18.095
1960M08,17.589,18.122
1960M09,17.600,18.136
1960M10,17.620,18.148
1960M11,17.680,18.196
1960M12,17.684,18.191
1961M01,17.686,18.195
1961M02,17.703,18.213
1961M03,17.693,18.219
1961M04,17.683,18.244
1961M05,17.693,18.268
1961M06,17.702,18.296
1961M07,17.740,18.325
1961M08,17.755,18.344
1961M09,17.776,18.381
1961M10,17.774,18.388
1961M11,17.776,18.391
1961M12,17.781,18.408
1962M01,17.816,18.431
1962M02,17.864,18.461
1962M03,17.887,18.504
1962M04,17.907,18.507
1962M05,17.918,18.533
1962M06,17.929,18.567
1962M07,17.919,18.582
1962M08,17.944,18.583
1962M09,18.031,18.619
1962M10,18.011,18.616
1962M11,18.025,18.630
1962M12,18.018,18.635
1963M01,18.063,18.672
1963M02,18.080,18.691
1963M03,18.065,18.701
1963M04,18.063,18.723
1963M05,18.091,18.755
1963M06,18.131,18.787
1963M07,18.166,18.803
1963M08,18.190,18.819
1963M09,18.187,18.854
1963M10,18.222,18.896
1963M11,18.248,18.914
1963M12,18.276,18.941
1964M01,18.314,18.968
1964M02,18.342,19.005
1964M03,18.353,19.024
1964M04,18.368,19.042
1964M05,18.370,19.059
1964M06,18.397,19.074
1964M07,18.421,19.093
1964M08,18.436,19.119
1964M09,18.464,19.128
1964M10,18.477,19.136
1964M11,18.502,19.164
1964M12,18.529,19.191
1965M01,18.549,19.216
1965M02,18.556,19.239
1965M03,18.580,19.250
